縣市區,年,月,毒品案件數,派出所數量,集會次數,宗教團體數,竊盜案件數,學校數,離婚筆數,交通案件數,青少年犯罪數(竊盜)
臺南市善化區,105,10月,4,5,0,40,0,9,183,21,0
臺南市善化區,105,11月,3,5,0,40,2,9,183,34,0
臺南市善化區,105,12月,3,5,0,40,2,9,183,16,0
臺南市學甲區,105,10月,5,5,1,47,3,6,164,7,0
臺南市學甲區,105,11月,2,5,0,47,1,6,164,20,0
臺南市學甲區,105,12月,4,5,0,47,0,6,164,12,0
臺南市安南區,105,10月,37,10,0,71,7,19,212,144,1
臺南市安南區,105,11月,34,10,0,71,7,19,212,130,0
臺南市安南區,105,12月,18,10,0,71,1,19,212,66,0
臺南市安定區,105,10月,12,4,0,26,1,4,208,7,0
臺南市安定區,105,11月,7,4,0,26,0,4,208,22,0
臺南市安定區,105,12月,1,4,0,26,1,4,208,7,0
臺南市安平區,105,10月,5,3,1,32,1,9,267,51,0
臺南市安平區,105,11月,5,3,1,32,0,9,267,76,0
臺南市安平區,105,12月,6,3,1,32,3,9,267,40,0
臺南市官田區,105,10月,3,4,0,32,1,5,189,19,1
臺南市官田區,105,12月,3,4,0,32,1,5,189,11,0
臺南市將軍區,105,10月,1,4,0,29,0,6,196,9,0
臺南市將軍區,105,12月,3,4,0,29,0,6,196,2,0
臺南市山上區,105,11月,1,1,0,13,0,2,161,6,0
臺南市左鎮區,105,10月,1,2,0,29,0,3,215,2,0
臺南市後壁區,105,10月,1,4,0,42,1,10,164,14,0
臺南市後壁區,105,11月,3,4,1,42,0,10,164,22,0
臺南市後壁區,105,12月,5,4,0,42,0,10,164,5,0
臺南市新化區,105,10月,4,5,0,49,2,8,180,44,0
臺南市新化區,105,11月,7,5,0,49,0,8,180,43,0
臺南市新化區,105,12月,4,5,0,49,1,8,180,21,0
臺南市新市區,105,10月,6,2,0,34,5,4,219,19,1
臺南市新市區,105,11月,1,2,0,34,0,4,219,35,0
臺南市新市區,105,12月,1,2,0,34,2,4,219,22,0
臺南市新營區,105,10月,8,6,0,42,7,18,214,21,0
臺南市新營區,105,11月,11,6,0,42,2,18,214,11,1
臺南市新營區,105,12月,6,6,1,42,0,18,214,22,0
臺南市東山區,105,10月,4,3,0,45,0,7,147,7,0
臺南市東山區,105,11月,4,3,0,45,2,7,147,9,0
臺南市東山區,105,12月,2,3,0,45,1,7,147,2,0
臺南市柳營區,105,10月,3,3,0,29,2,8,152,0,1
臺南市柳營區,105,11月,5,3,0,29,0,8,152,2,0
臺南市柳營區,105,12月,2,3,0,29,2,8,152,6,0
臺南市楠西區,105,10月,3,2,0,18,0,2,189,1,0
臺南市楠西區,105,12月,2,2,0,18,1,2,189,3,0
臺南市歸仁區,105,10月,14,5,0,44,4,9,162,43,0
臺南市歸仁區,105,11月,14,5,0,44,2,9,162,43,0
臺南市歸仁區,105,12月,8,5,0,44,4,9,162,19,0
臺南市永康區,105,10月,69,8,0,81,7,17,249,352,1
臺南市永康區,105,11月,67,8,0,81,9,17,249,231,1
臺南市永康區,105,12月,50,8,0,81,6,17,249,151,1
臺南市玉井區,105,10月,5,3,1,48,0,4,193,6,0
臺南市玉井區,105,11月,3,3,0,48,1,4,193,5,0
臺南市玉井區,105,12月,1,3,0,48,0,4,193,0,0
臺南市白河區,105,10月,8,8,0,75,3,9,210,8,0
臺南市白河區,105,11月,7,8,0,75,0,9,210,11,1
臺南市白河區,105,12月,6,8,0,75,2,9,210,10,0
臺南市西港區,105,11月,5,2,0,35,1,7,161,10,0
臺南市西港區,105,12月,3,2,0,35,0,7,161,6,0
臺南市關廟區,105,10月,7,3,0,56,1,8,193,9,0
臺南市關廟區,105,11月,4,3,0,56,1,8,193,14,0
臺南市關廟區,105,12月,7,3,0,56,0,8,193,5,0
臺南市鹽水區,105,10月,2,3,0,46,1,10,179,3,0
臺南市鹽水區,105,11月,1,3,0,46,2,10,179,1,0
臺南市鹽水區,105,12月,2,3,0,46,1,10,179,8,0
臺南市麻豆區,105,10月,2,5,0,69,0,12,173,54,0
臺南市麻豆區,105,11月,6,5,0,69,2,12,173,41,1
臺南市麻豆區,105,12月,8,5,0,69,1,12,173,27,0
臺南市南北區,105,10月,33,7,0,69,2,15,203,235,0
臺南市南北區,105,11月,26,7,0,69,9,15,203,227,1
臺南市南北區,105,12月,18,7,1,69,5,15,203,103,1
臺南市南南區,105,10月,4,8,0,61,1,13,220,76,1
臺南市南南區,105,11月,11,8,0,61,1,13,220,92,1
臺南市南南區,105,12月,10,8,1,61,1,13,220,33,0
臺南市南東區,105,10月,11,8,0,74,9,19,190,114,1
臺南市南東區,105,11月,11,8,0,74,2,19,190,104,0
臺南市南東區,105,12月,12,8,1,74,3,19,190,60,0
桃園市復興區,105,10月,0,11,0,2,1,12,238,4,1
臺南市南化區,105,11月,0,3,0,54,2,6,156,3,0
